Track,Artist,Album,Year,Duration,Danceability,Loudness,Acousticness,Instrumentalness,Tempo,Popularity
Release,Afro Celt Sound System,Volume 2: Release (Real World Gold),2005,456160,633,-7.266,216,558,100.089,31
Saor / Free / News from Nowhere,Afro Celt Sound System,Vol. 1: Sound Magic (Real World Gold),1999,501093,511,-10.504,26,879,81.996,24
When You're Falling,Afro Celt Sound System,Volume 3 : Further In Time (Real World Gold),2003,314160,638,-7.305,508,254,99.01,36
Whirl-Y-Reel 1,Afro Celt Sound System,Vol. 1: Sound Magic (Real World Gold),1999,441200,645,-8.133,132,395,132.021,25
Electric Rendezvous,Al Di Meola,Electric Rendezvous,1982,467266,337,-12.241,101,748,108.143,19
"Fantasia Suite - Live at Warfield Theatre, San Francisco, CA - December 5, 1980",Al Di Meola,Friday Night in San Francisco,1981,530506,341,-13.473,726,537,100.246,27
"Lady of Rome, Sister of Brazil",Al Di Meola,Elegant Gypsy,1980,106240,0.71,-16.617,868,706,110.909,34
"Mediterranean Sundance / Rio Ancho - Live at Warfield Theatre, San Francisco, CA - December 5, 1980",Al Di Meola,Friday Night in San Francisco,1981,691306,415,-11.628,834,808,100.54,46
Race With Devil On Spanish Highway,Al Di Meola,Elegant Gypsy,1979,378266,318,-11.606,139,531,88.648,28
The Wizard,Al Di Meola,Land Of The Midnight Sun,1986,406133,378,-14.155,369,851,157.859,18
Ai Du (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,1990,429973,0.57,-17.168,306,586,151.78,53
Banga (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,2013,152826,511,-22.718,636,843,77.991,29
Bonde (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,2013,328826,514,-17.026,712,523,113.821,45
Diaraby (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,1990,446826,558,-18.639,784,706,142.681,38
Gomni (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,1990,420800,404,-18.083,479,0.21,78.914,37
Inchana Massina (feat. Nitin Sawhney),Ali Farka Touré,The Source,2005,313760,542,-12.026,776,278,80.762,16
Karaw,Ali Farka Touré,The Source,2001,388493,423,-11.381,837,197,89.55,12
Savane,Ali Farka Touré,Savane,2006,463266,776,-10.45,772,134,135.866,40
Soko,Ali Farka Touré,Radio Mali,2004,308866,727,-13.501,857,0,112.287,17
Yer Bounda Fara,Ali Farka Touré,Savane,1994,256853,813,-9.87,724,247,117.08,23
Eshurruru,Ali Mohammed Birra,Ethiopiques 28 - Great Oromo Music,1979,288346,449,-7.716,852,306,158.353,24
Imiman Jalaala,Ali Mohammed Birra,Ethiopiques 28 - Great Oromo Music,1980,300080,302,-8.31,956,0.73,96.406,20
Inyaadi'ini,Ali Mohammed Birra,Ethiopiques 28 - Great Oromo Music,1980,269093,366,-6.264,892,462,144.054,20
Kan ati fettun isani infedhani,Ali Mohammed Birra,Ethiopiques 28 - Great Oromo Music,1981,284546,487,-6.399,942,322,155.738,14
Si jaalallee - 1975,Ali Mohammed Birra,Ethiopiques 28 - Great Oromo Music,1975,247040,388,-7.172,929,308,161.244,17
Afrika - Live,Angelique Kidjo,Spirit Rising (Live),1998,258000,586,-5.052,537,0,111.875,9
Agolo,Angelique Kidjo,Aye,1994,289493,701,-8.205,367,139,93.951,37
Batonga,Angelique Kidjo,Logozo,2005,276840,682,-11.932,396,602,109.271,28
